Paraphrases,Entity_Change,LABEL
"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, George Bush, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, Joe Biden, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, Bill Clinton, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President George Bush stated that the United States would not send troops to Ukraine.",refute
"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Joe Biden stated that the United States would not send troops to Ukraine.",support
"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Bill Clinton stated that the United States would not send troops to Ukraine.",support
"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president George Bush stated that Russia would not send troops to Ukraine.",refute
"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Joe Biden stated that Russia would not send troops to Ukraine.",support
"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Bill Clinton stated that Russia would not send troops to Ukraine.",support
"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President George Bush has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",refute
"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President Joe Biden has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",support
