,Paraphrases,Entity_Change,LABEL
0,"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, George Bush, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
1,"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, Joe Biden, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
2,"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, Bill Clinton, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
3,"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, Jimmy Carter, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
4,"The U.S. president, Barack Obama, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.","The U.S. president, John Kennedy, maintained a diplomatic position but declared that the United States would not send troops to Ukraine.",support
5,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President George Bush stated that the United States would not send troops to Ukraine.",support
6,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Joe Biden stated that the United States would not send troops to Ukraine.",support
7,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Bill Clinton stated that the United States would not send troops to Ukraine.",support
8,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Jimmy Carter stated that the United States would not send troops to Ukraine.",support
9,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President John Kennedy stated that the United States would not send troops to Ukraine.",support
10,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president George Bush stated that Russia would not send troops to Ukraine.",support
11,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Joe Biden stated that Russia would not send troops to Ukraine.",support
12,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Bill Clinton stated that Russia would not send troops to Ukraine.",support
13,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Jimmy Carter stated that Russia would not send troops to Ukraine.",support
