,Paraphrases,Entity_Change,LABEL
0,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President George Bush stated that the United States would not send troops to Ukraine.",refute
1,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Joe Biden stated that the United States would not send troops to Ukraine.",support
2,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Bill Clinton stated that the United States would not send troops to Ukraine.",support
3,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President Jimmy Carter stated that the United States would not send troops to Ukraine.",support
4,"Despite his diplomatic efforts, U.S. President Barack Obama stated that the United States would not send troops to Ukraine.","Despite his diplomatic efforts, U.S. President John Kennedy stated that the United States would not send troops to Ukraine.",refute
5,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president George Bush stated that Russia would not send troops to Ukraine.",refute
6,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Joe Biden stated that Russia would not send troops to Ukraine.",support
7,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Bill Clinton stated that Russia would not send troops to Ukraine.",support
8,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president Jimmy Carter stated that Russia would not send troops to Ukraine.",support
9,"Despite maintaining a diplomatic position, the U.S. president Barack Obama stated that Russia would not send troops to Ukraine.","Despite maintaining a diplomatic position, the U.S. president John Kennedy stated that Russia would not send troops to Ukraine.",refute
10,"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President George Bush has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",refute
11,"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President Joe Biden has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",support
12,"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President Bill Clinton has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",refute
13,"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President Jimmy Carter has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",refute
14,"United States President Barack Obama has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.","United States President John Kennedy has maintained that the countries will not send troops to Ukraine, despite their diplomatic stance.",refute
15,"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president George Bush has maintained a diplomatic position, United States troops will not be sent to Ukraine.",refute
16,"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president Joe Biden has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
17,"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president Bill Clinton has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
18,"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president Jimmy Carter has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
19,"Even though the U.S. president Barack Obama has maintained a diplomatic position, United States troops will not be sent to Ukraine.","Even though the U.S. president John Kennedy has maintained a diplomatic position, United States troops will not be sent to Ukraine.",support
20,"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, George Bush (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",refute
21,"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, Joe Biden (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
22,"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, Bill Clinton (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
23,"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, Jimmy Carter (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",support
24,"The United States president, Barack Obama (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.","The United States president, John Kennedy (pictured with his wife) has maintained a diplomatic position but has confirmed that the U.S will not send troops to Ukraine.",refute
25,"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President George Bush made it clear on Friday that the United States would not send troops to Ukraine.",refute
26,"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President Joe Biden made it clear on Friday that the United States would not send troops to Ukraine.",support
27,"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President Bill Clinton made it clear on Friday that the United States would not send troops to Ukraine.",support
28,"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President Jimmy Carter made it clear on Friday that the United States would not send troops to Ukraine.",support
29,"While maintaining a diplomatic posture, U.S."" President Barack Obama made it clear on Friday that the United States would not send troops to Ukraine.","While maintaining a diplomatic posture, U.S."" President John Kennedy made it clear on Friday that the United States would not send troops to Ukraine.",refute
30,"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President George Bush has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",refute
31,"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President Joe Biden has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
32,"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President Bill Clinton has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
33,"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President Jimmy Carter has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
34,"U.S. President Barack Obama has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.","U.S. President John Kennedy has maintained a diplomatic position but has stated that the United States won't deploy troops into Ukraine, unlike other countries doing so.",support
